municipio;year;Todas las edades
        24053 Castrillo de la Valduerna;2013;187
        24054 Castrillo de la Valduerna;2012;181
        24055 Castrillo de la Valduerna;2011;185
        24056 Castrillo de la Valduerna;2010;190
        24057 Castrillo de la Valduerna;2009;192
        24058 Castrillo de la Valduerna;2008;200
        24059 Castrillo de la Valduerna;2007;202
        24060 Castrillo de la Valduerna;2006;212
        24061 Castrillo de la Valduerna;2005;205
        24062 Castrillo de la Valduerna;2004;198
        24063 Castrillo de la Valduerna;2003;210
        24046 Castrocalbón;2022;931
        24047 Castrocalbón;2021;940
        24048 Castrocalbón;2020;938
        24049 Castrocalbón;2019;964
        24050 Castrocalbón;2018;979
        24051 Castrocalbón;2017;1002
        24052 Castrocalbón;2016;1021
        24053 Castrocalbón;2015;1051
        24054 Castrocalbón;2014;1050
        24055 Castrocalbón;2013;1075
        24056 Castrocalbón;2012;1037
        24057 Castrocalbón;2011;1058
        24058 Castrocalbón;2010;1081
        24059 Castrocalbón;2009;1100
        24060 Castrocalbón;2008;1144
        24061 Castrocalbón;2007;1163
        24062 Castrocalbón;2006;1196
        24063 Castrocalbón;2005;1227
        24064 Castrocalbón;2004;1254
        24065 Castrocalbón;2003;1288
        24047 Castrocontrigo;2022;701
        24048 Castrocontrigo;2021;720
        24049 Castrocontrigo;2020;725
        24050 Castrocontrigo;2019;765
        24051 Castrocontrigo;2018;794
        24052 Castrocontrigo;2017;807
        24053 Castrocontrigo;2016;823
        24054 Castrocontrigo;2015;839
        24055 Castrocontrigo;2014;847
        24056 Castrocontrigo;2013;852
        24057 Castrocontrigo;2012;895
        24058 Castrocontrigo;2011;907
        24059 Castrocontrigo;2010;917
        24060 Castrocontrigo;2009;936
        24061 Castrocontrigo;2008;968
        24062 Castrocontrigo;2007;993
        24063 Castrocontrigo;2006;1006
        24064 Castrocontrigo;2005;1048
        24065 Castrocontrigo;2004;1075
        24066 Castrocontrigo;2003;1082
        24049 Castropodame;2022;1577
        24050 Castropodame;2021;1605
        24051 Castropodame;2020;1629
        24052 Castropodame;2019;1628
        24053 Castropodame;2018;1658
        24054 Castropodame;2017;1680
        24055 Castropodame;2016;1714
        24056 Castropodame;2015;1728
        24057 Castropodame;2014;1753
        24058 Castropodame;2013;1768
        24059 Castropodame;2012;1805
        24060 Castropodame;2011;1801
        24061 Castropodame;2010;1812
        24062 Castropodame;2009;1816
        24063 Castropodame;2008;1834
        24064 Castropodame;2007;1851
        24065 Castropodame;2006;1861
        24066 Castropodame;2005;1848
        24067 Castropodame;2004;1854
        24068 Castropodame;2003;1892
        24050 Castrotierra de Valmadrigal;2022;109
        24051 Castrotierra de Valmadrigal;2021;111
        24052 Castrotierra de Valmadrigal;2020;114
        24053 Castrotierra de Valmadrigal;2019;115
        24054 Castrotierra de Valmadrigal;2018;113
        24055 Castrotierra de Valmadrigal;2017;110
        24056 Castrotierra de Valmadrigal;2016;111
        24057 Castrotierra de Valmadrigal;2015;115
        24058 Castrotierra de Valmadrigal;2014;114
        24059 Castrotierra de Valmadrigal;2013;114
        24060 Castrotierra de Valmadrigal;2012;116
        24061 Castrotierra de Valmadrigal;2011;126
        24062 Castrotierra de Valmadrigal;2010;124
        24063 Castrotierra de Valmadrigal;2009;133
        24064 Castrotierra de Valmadrigal;2008;135
        24065 Castrotierra de Valmadrigal;2007;134
        24066 Castrotierra de Valmadrigal;2006;135
        24067 Castrotierra de Valmadrigal;2005;132
        24068 Castrotierra de Valmadrigal;2004;142
        24069 Castrotierra de Valmadrigal;2003;147
        24051 Cea;2022;389
        24052 Cea;2021;402
        24053 Cea;2020;403
        24054 Cea;2019;413
        24055 Cea;2018;426
        24056 Cea;2017;436
        24057 Cea;2016;449
        24058 Cea;2015;460
        24059 Cea;2014;481
        24060 Cea;2013;496
        24061 Cea;2012;515
        24062 Cea;2011;515
        24063 Cea;2010;530
        24064 Cea;2009;553
        24065 Cea;2008;561
        24066 Cea;2007;587
        24067 Cea;2006;628
        24068 Cea;2005;646
        24069 Cea;2004;634
        24070 Cea;2003;650
        24052 Cebanico;2022;142
        24053 Cebanico;2021;141
        24054 Cebanico;2020;148
        24055 Cebanico;2019;147
        24056 Cebanico;2018;153
        24057 Cebanico;2017;158
        24058 Cebanico;2016;171
        24059 Cebanico;2015;174
        24060 Cebanico;2014;182
        24061 Cebanico;2013;186
        24062 Cebanico;2012;186
        24063 Cebanico;2011;187
        24064 Cebanico;2010;195
        24065 Cebanico;2009;197
        24066 Cebanico;2008;197
        24067 Cebanico;2007;212
        24068 Cebanico;2006;222
        24069 Cebanico;2005;220
        24070 Cebanico;2004;225
        24071 Cebanico;2003;230
        24053 Cebrones del Río;2022;437
        24054 Cebrones del Río;2021;423
        24055 Cebrones del Río;2020;439
        24056 Cebrones del Río;2019;451
        24057 Cebrones del Río;2018;461
        24058 Cebrones del Río;2017;472
        24059 Cebrones del Río;2016;490
        24060 Cebrones del Río;2015;512
        24061 Cebrones del Río;2014;532
        24062 Cebrones del Río;2013;540
        24063 Cebrones del Río;2012;546
        24064 Cebrones del Río;2011;559
        24065 Cebrones del Río;2010;560
        24066 Cebrones del Río;2009;581
        24067 Cebrones del Río;2008;593
        24068 Cebrones del Río;2007;606
        24069 Cebrones del Río;2006;630
        24070 Cebrones del Río;2005;643
        24071 Cebrones del Río;2004;642
        24072 Cebrones del Río;2003;649
        24065 Chozas de Abajo;2022;2625
        24066 Chozas de Abajo;2021;2596
        24067 Chozas de Abajo;2020;2561
        24068 Chozas de Abajo;2019;2581
        24069 Chozas de Abajo;2018;2564
        24070 Chozas de Abajo;2017;2553
        24071 Chozas de Abajo;2016;2528
        24072 Chozas de Abajo;2015;2496
        24073 Chozas de Abajo;2014;2449
        24074 Chozas de Abajo;2013;2474
        24075 Chozas de Abajo;2012;2415
        24076 Chozas de Abajo;2011;2438
        24077 Chozas de Abajo;2010;2424
        24078 Chozas de Abajo;2009;2419
        24079 Chozas de Abajo;2008;2388
        24080 Chozas de Abajo;2007;2273
        24081 Chozas de Abajo;2006;2170
        24082 Chozas de Abajo;2005;2114
        24083 Chozas de Abajo;2004;2001
        24084 Chozas de Abajo;2003;2010
        24054 Cimanes de la Vega;2022;453
        24055 Cimanes de la Vega;2021;441
        24056 Cimanes de la Vega;2020;449
        24057 Cimanes de la Vega;2019;463
        24058 Cimanes de la Vega;2018;472
        24059 Cimanes de la Vega;2017;471
        24060 Cimanes de la Vega;2016;482
        24061 Cimanes de la Vega;2015;500
        24062 Cimanes de la Vega;2014;497
        24063 Cimanes de la Vega;2013;519
        24064 Cimanes de la Vega;2012;549
        24065 Cimanes de la Vega;2011;559
        24066 Cimanes de la Vega;2010;569
        24067 Cimanes de la Vega;2009;580
        24068 Cimanes de la Vega;2008;582
        24069 Cimanes de la Vega;2007;576
        24070 Cimanes de la Vega;2006;586
        24071 Cimanes de la Vega;2005;599
        24072 Cimanes de la Vega;2004;625
        24073 Cimanes de la Vega;2003;637
        24055 Cimanes del Tejar;2022;744
        24056 Cimanes del Tejar;2021;737
        24057 Cimanes del Tejar;2020;719
        24058 Cimanes del Tejar;2019;724
        24059 Cimanes del Tejar;2018;740
        24060 Cimanes del Tejar;2017;755
        24061 Cimanes del Tejar;2016;755
        24062 Cimanes del Tejar;2015;763
        24063 Cimanes del Tejar;2014;776
        24064 Cimanes del Tejar;2013;783
        24065 Cimanes del Tejar;2012;804
        24066 Cimanes del Tejar;2011;822
        24067 Cimanes del Tejar;2010;825
        24068 Cimanes del Tejar;2009;851
        24069 Cimanes del Tejar;2008;857
        24070 Cimanes del Tejar;2007;861
        24071 Cimanes del Tejar;2006;877
        24072 Cimanes del Tejar;2005;885
        24073 Cimanes del Tejar;2004;904
        24074 Cimanes del Tejar;2003;946
        24056 Cistierna;2022;2986
        24057 Cistierna;2021;3038
        24058 Cistierna;2020;3090
        24059 Cistierna;2019;3135
        24060 Cistierna;2018;3150
        24061 Cistierna;2017;3243
        24062 Cistierna;2016;3290
        24063 Cistierna;2015;3351
        24064 Cistierna;2014;3489
        24065 Cistierna;2013;3568
        24066 Cistierna;2012;3652
        24067 Cistierna;2011;3709
        24068 Cistierna;2010;3720
        24069 Cistierna;2009;3721
        24070 Cistierna;2008;3778
        24071 Cistierna;2007;3850
        24072 Cistierna;2006;3750
        24073 Cistierna;2005;3863
        24074 Cistierna;2004;3972
        24075 Cistierna;2003;4059
        24057 Congosto;2022;1447
        24058 Congosto;2021;1431
        24059 Congosto;2020;1446
        24060 Congosto;2019;1475
        24061 Congosto;2018;1533
        24062 Congosto;2017;1554
        24063 Congosto;2016;1559
        24064 Congosto;2015;1591
        24065 Congosto;2014;1615
        24066 Congosto;2013;1664
        24067 Congosto;2012;1676
        24068 Congosto;2011;1692
        24069 Congosto;2010;1731
        24070 Congosto;2009;1748
        24071 Congosto;2008;1747
        24072 Congosto;2007;1773
        24073 Congosto;2006;1742
        24074 Congosto;2005;1743
        24075 Congosto;2004;1691
        24076 Congosto;2003;1732
        24058 Corbillos de los Oteros;2022;187
        24059 Corbillos de los Oteros;2021;193
        24060 Corbillos de los Oteros;2020;185
        24061 Corbillos de los Oteros;2019;199
        24062 Corbillos de los Oteros;2018;209
        24063 Corbillos de los Oteros;2017;217
        24064 Corbillos de los Oteros;2016;215
        24065 Corbillos de los Oteros;2015;208
        24066 Corbillos de los Oteros;2014;215
        24067 Corbillos de los Oteros;2013;215
        24068 Corbillos de los Oteros;2012;226
        24069 Corbillos de los Oteros;2011;240
        24070 Corbillos de los Oteros;2010;247
        24071 Corbillos de los Oteros;2009;259
        24072 Corbillos de los Oteros;2008;264
        24073 Corbillos de los Oteros;2007;280
        24074 Corbillos de los Oteros;2006;284
        24075 Corbillos de los Oteros;2005;281
        24076 Corbillos de los Oteros;2004;259
        24077 Corbillos de los Oteros;2003;262
        24059 Corullón;2022;858
        24060 Corullón;2021;862
        24061 Corullón;2020;887
        24062 Corullón;2019;887
        24063 Corullón;2018;914
        24064 Corullón;2017;927
        24065 Corullón;2016;937
        24066 Corullón;2015;990
        24067 Corullón;2014;1007
        24068 Corullón;2013;1068
        24069 Corullón;2012;1080
        24070 Corullón;2011;1098
        24071 Corullón;2010;1122
        24072 Corullón;2009;1124
        24073 Corullón;2008;1103
        24074 Corullón;2007;1090
        24075 Corullón;2006;1101
        24076 Corullón;2005;1120
        24077 Corullón;2004;1151
        24078 Corullón;2003;1177
        24060 Crémenes;2022;522
        24061 Crémenes;2021;522
        24062 Crémenes;2020;527
        24063 Crémenes;2019;544
        24064 Crémenes;2018;544
        24065 Crémenes;2017;570
        24066 Crémenes;2016;584
        24067 Crémenes;2015;589
        24068 Crémenes;2014;585
        24069 Crémenes;2013;601
        24070 Crémenes;2012;614
        24071 Crémenes;2011;679
        24072 Crémenes;2010;660
        24073 Crémenes;2009;680
        24074 Crémenes;2008;705
        24075 Crémenes;2007;761
        24076 Crémenes;2006;734
        24077 Crémenes;2005;740
        24078 Crémenes;2004;882
        24079 Crémenes;2003;912
        24061 Cuadros;2022;2049
        24062 Cuadros;2021;2057
        24063 Cuadros;2020;2035
        24064 Cuadros;2019;2001
        24065 Cuadros;2018;2018
        24066 Cuadros;2017;1986
        24067 Cuadros;2016;2000
        24068 Cuadros;2015;1999
        24069 Cuadros;2014;1998
        24070 Cuadros;2013;2018
        24071 Cuadros;2012;2010
        24072 Cuadros;2011;2019
        24073 Cuadros;2010;1980
        24074 Cuadros;2009;1926
        24075 Cuadros;2008;1926
        24076 Cuadros;2007;1878
        24077 Cuadros;2006;1854
        24078 Cuadros;2005;1835
        24079 Cuadros;2004;1780
        24080 Cuadros;2003;1741
        24062 Cubillas de los Oteros;2022;137
        24063 Cubillas de los Oteros;2021;133
        24064 Cubillas de los Oteros;2020;135
        24065 Cubillas de los Oteros;2019;141
        24066 Cubillas de los Oteros;2018;147
        24067 Cubillas de los Oteros;2017;152
        24068 Cubillas de los Oteros;2016;152
        24069 Cubillas de los Oteros;2015;147
        24070 Cubillas de los Oteros;2014;153
        24071 Cubillas de los Oteros;2013;154
        24072 Cubillas de los Oteros;2012;154
        24073 Cubillas de los Oteros;2011;158
        24074 Cubillas de los Oteros;2010;167
        24075 Cubillas de los Oteros;2009;174
        24076 Cubillas de los Oteros;2008;184
        24077 Cubillas de los Oteros;2007;192
        24078 Cubillas de los Oteros;2006;194
        24079 Cubillas de los Oteros;2005;203
        24080 Cubillas de los Oteros;2004;192
        24081 Cubillas de los Oteros;2003;200
        24063 Cubillas de Rueda;2022;388
        24064 Cubillas de Rueda;2021;389
        24065 Cubillas de Rueda;2020;409
        24066 Cubillas de Rueda;2019;388
        24067 Cubillas de Rueda;2018;404
        24068 Cubillas de Rueda;2017;411
        24069 Cubillas de Rueda;2016;435
        24070 Cubillas de Rueda;2015;466
        24071 Cubillas de Rueda;2014;475
        24072 Cubillas de Rueda;2013;497
        24073 Cubillas de Rueda;2012;512
        24074 Cubillas de Rueda;2011;486
        24075 Cubillas de Rueda;2010;501
        24076 Cubillas de Rueda;2009;511
        24077 Cubillas de Rueda;2008;529
        24078 Cubillas de Rueda;2007;540
        24079 Cubillas de Rueda;2006;548
        24080 Cubillas de Rueda;2005;564
        24081 Cubillas de Rueda;2004;594
        24082 Cubillas de Rueda;2003;610
        24064 Cubillos del Sil;2022;1789
        24065 Cubillos del Sil;2021;1796
        24066 Cubillos del Sil;2020;1768
        24067 Cubillos del Sil;2019;1816
        24068 Cubillos del Sil;2018;1839
        24069 Cubillos del Sil;2017;1859
        24070 Cubillos del Sil;2016;1813
        24071 Cubillos del Sil;2015;1821
        24072 Cubillos del Sil;2014;1851
        24073 Cubillos del Sil;2013;1865
        24074 Cubillos del Sil;2012;1852
        24075 Cubillos del Sil;2011;1830
        24076 Cubillos del Sil;2010;1771
        24077 Cubillos del Sil;2009;1722
        24078 Cubillos del Sil;2008;1656
        24079 Cubillos del Sil;2007;1603
        24080 Cubillos del Sil;2006;1523
        24081 Cubillos del Sil;2005;1462
        24082 Cubillos del Sil;2004;1445
        24083 Cubillos del Sil;2003;1462
        24066 Destriana;2022;438
        24067 Destriana;2021;441
        24068 Destriana;2020;459
        24069 Destriana;2019;479
        24070 Destriana;2018;495
        24071 Destriana;2017;511
        24072 Destriana;2016;523
        24073 Destriana;2015;549
        24074 Destriana;2014;562
        24075 Destriana;2013;579
        24076 Destriana;2012;597
        24077 Destriana;2011;602
        24078 Destriana;2010;615
        24079 Destriana;2009;630
        24080 Destriana;2008;637
        24081 Destriana;2007;657
        24082 Destriana;2006;679
        24083 Destriana;2005;705
        24084 Destriana;2004;736
        24085 Destriana;2003;763
        24067 Encinedo;2022;603
        24068 Encinedo;2021;661
        24069 Encinedo;2020;690
        24070 Encinedo;2019;709
        24071 Encinedo;2018;686
        24072 Encinedo;2017;715
        24073 Encinedo;2016;752
        24074 Encinedo;2015;797
        24075 Encinedo;2014;809
        24076 Encinedo;2013;834
        24077 Encinedo;2012;828
        24078 Encinedo;2011;846
        24079 Encinedo;2010;870
        24080 Encinedo;2009;894
        24081 Encinedo;2008;881
        24082 Encinedo;2007;904
        24083 Encinedo;2006;961
        24084 Encinedo;2005;948
        24085 Encinedo;2004;967
        24086 Encinedo;2003;987
        24068 Ercina, La;2022;440
        24069 Ercina, La;2021;450
        24070 Ercina, La;2020;441
        24071 Ercina, La;2019;457
        24072 Ercina, La;2018;462
        24073 Ercina, La;2017;473
        24074 Ercina, La;2016;478
        24075 Ercina, La;2015;490
        24076 Ercina, La;2014;501
        24077 Ercina, La;2013;518
        24078 Ercina, La;2012;537
        24079 Ercina, La;2011;542
        24080 Ercina, La;2010;561
        24081 Ercina, La;2009;584
        24082 Ercina, La;2008;599
        24083 Ercina, La;2007;618
        24084 Ercina, La;2006;625
        24085 Ercina, La;2005;650
        24086 Ercina, La;2004;681
        24087 Ercina, La;2003;686
        24069 Escobar de Campos;2022;31
        24070 Escobar de Campos;2021;33
        24071 Escobar de Campos;2020;34
        24072 Escobar de Campos;2019;39
        24073 Escobar de Campos;2018;42
        24074 Escobar de Campos;2017;42
        24075 Escobar de Campos;2016;42
        24076 Escobar de Campos;2015;46
        24077 Escobar de Campos;2014;48
        24078 Escobar de Campos;2013;51
        24079 Escobar de Campos;2012;52
        24080 Escobar de Campos;2011;54
        24081 Escobar de Campos;2010;56
        24082 Escobar de Campos;2009;60
        24083 Escobar de Campos;2008;64
        24084 Escobar de Campos;2007;66
        24085 Escobar de Campos;2006;69
        24086 Escobar de Campos;2005;71
        24087 Escobar de Campos;2004;74
        24088 Escobar de Campos;2003;80
        24070 Fabero;2022;4239
        24071 Fabero;2021;4346
        24072 Fabero;2020;4386
        24073 Fabero;2019;4493
        24074 Fabero;2018;4551
        24075 Fabero;2017;4635
        24076 Fabero;2016;4746
        24077 Fabero;2015;4818
        24078 Fabero;2014;4956
        24079 Fabero;2013;5006
        24080 Fabero;2012;5106
        24081 Fabero;2011;5218
        24082 Fabero;2010;5298
        24083 Fabero;2009;5319
        24084 Fabero;2008;5295
        24085 Fabero;2007;5324
        24086 Fabero;2006;5296
        24087 Fabero;2005;5282
        24088 Fabero;2004;5312
        24089 Fabero;2003;5504
        24071 Folgoso de la Ribera;2022;1026
        24072 Folgoso de la Ribera;2021;1034
        24073 Folgoso de la Ribera;2020;1045
        24074 Folgoso de la Ribera;2019;1080
        24075 Folgoso de la Ribera;2018;1108
        24076 Folgoso de la Ribera;2017;1132
        24077 Folgoso de la Ribera;2016;1142
        24078 Folgoso de la Ribera;2015;1153
        24079 Folgoso de la Ribera;2014;1182
        24080 Folgoso de la Ribera;2013;1207
        24081 Folgoso de la Ribera;2012;1226
        24082 Folgoso de la Ribera;2011;1232
        24083 Folgoso de la Ribera;2010;1233
        24084 Folgoso de la Ribera;2009;1220
        24085 Folgoso de la Ribera;2008;1230
        24086 Folgoso de la Ribera;2007;1249
        24087 Folgoso de la Ribera;2006;1266
        24088 Folgoso de la Ribera;2005;1294
        24089 Folgoso de la Ribera;2004;1285
        24090 Folgoso de la Ribera;2003;1284
        24073 Fresno de la Vega;2022;472
        24074 Fresno de la Vega;2021;478
        24075 Fresno de la Vega;2020;479
        24076 Fresno de la Vega;2019;496
        24077 Fresno de la Vega;2018;500
        24078 Fresno de la Vega;2017;530
        24079 Fresno de la Vega;2016;547
        24080 Fresno de la Vega;2015;560
        24081 Fresno de la Vega;2014;608
        24082 Fresno de la Vega;2013;643
        24083 Fresno de la Vega;2012;654
        24084 Fresno de la Vega;2011;637
        24085 Fresno de la Vega;2010;629
        24086 Fresno de la Vega;2009;622
        24087 Fresno de la Vega;2008;632
        24088 Fresno de la Vega;2007;623
        24089 Fresno de la Vega;2006;608
        24090 Fresno de la Vega;2005;611
        24091 Fresno de la Vega;2004;645
        24092 Fresno de la Vega;2003;651
        24074 Fuentes de Carbajal;2022;79
        24075 Fuentes de Carbajal;2021;81
        24076 Fuentes de Carbajal;2020;93
        24077 Fuentes de Carbajal;2019;98
        24078 Fuentes de Carbajal;2018;95
        24079 Fuentes de Carbajal;2017;90
        24080 Fuentes de Carbajal;2016;92
        24081 Fuentes de Carbajal;2015;103
        24082 Fuentes de Carbajal;2014;102
        24083 Fuentes de Carbajal;2013;106
        24084 Fuentes de Carbajal;2012;115
        24085 Fuentes de Carbajal;2011;118
        24086 Fuentes de Carbajal;2010;121
        24087 Fuentes de Carbajal;2009;124
        24088 Fuentes de Carbajal;2008;127
        24089 Fuentes de Carbajal;2007;126
        24090 Fuentes de Carbajal;2006;126
        24091 Fuentes de Carbajal;2005;129
        24092 Fuentes de Carbajal;2004;124
        24093 Fuentes de Carbajal;2003;124
        24076 Garrafe de Torío;2022;1580
        24077 Garrafe de Torío;2021;1589
        24078 Garrafe de Torío;2020;1513
        24079 Garrafe de Torío;2019;1504
        24080 Garrafe de Torío;2018;1475
        24081 Garrafe de Torío;2017;1496
        24082 Garrafe de Torío;2016;1480
        24083 Garrafe de Torío;2015;1457
        24084 Garrafe de Torío;2014;1409
        24085 Garrafe de Torío;2013;1366
        24086 Garrafe de Torío;2012;1374
        24087 Garrafe de Torío;2011;1336
        24088 Garrafe de Torío;2010;1267
        24089 Garrafe de Torío;2009;1239
        24090 Garrafe de Torío;2008;1234
        24091 Garrafe de Torío;2007;1232
        24092 Garrafe de Torío;2006;1200
        24093 Garrafe de Torío;2005;1183
        24094 Garrafe de Torío;2004;1150
        24095 Garrafe de Torío;2003;1223
        24077 Gordaliza del Pino;2022;244
        24078 Gordaliza del Pino;2021;255
        24079 Gordaliza del Pino;2020;245
        24080 Gordaliza del Pino;2019;252
        24081 Gordaliza del Pino;2018;244
        24082 Gordaliza del Pino;2017;252
        24083 Gordaliza del Pino;2016;268
        24084 Gordaliza del Pino;2015;272
        24085 Gordaliza del Pino;2014;269
        24086 Gordaliza del Pino;2013;269
        24087 Gordaliza del Pino;2012;283
        24088 Gordaliza del Pino;2011;290
        24089 Gordaliza del Pino;2010;304
        24090 Gordaliza del Pino;2009;307
        24091 Gordaliza del Pino;2008;312
        24092 Gordaliza del Pino;2007;322
        24093 Gordaliza del Pino;2006;322
        24094 Gordaliza del Pino;2005;321
        24095 Gordaliza del Pino;2004;315
        24096 Gordaliza del Pino;2003;334
        24078 Gordoncillo;2022;330
        24079 Gordoncillo;2021;350
        24080 Gordoncillo;2020;365
        24081 Gordoncillo;2019;409
        24082 Gordoncillo;2018;406
        24083 Gordoncillo;2017;433
        24084 Gordoncillo;2016;449
        24085 Gordoncillo;2015;473
        24086 Gordoncillo;2014;478
        24087 Gordoncillo;2013;478
        24088 Gordoncillo;2012;494
        24089 Gordoncillo;2011;495
        24090 Gordoncillo;2010;499
        24091 Gordoncillo;2009;498
        24092 Gordoncillo;2008;522
        24093 Gordoncillo;2007;521
        24094 Gordoncillo;2006;534
        24095 Gordoncillo;2005;560
        24096 Gordoncillo;2004;616
        24097 Gordoncillo;2003;586
        24079 Gradefes;2022;941
        24080 Gradefes;2021;925
        24081 Gradefes;2020;931
        24082 Gradefes;2019;954
        24083 Gradefes;2018;944
        24084 Gradefes;2017;966
        24085 Gradefes;2016;987
        24086 Gradefes;2015;997
        24087 Gradefes;2014;997
        24088 Gradefes;2013;1028
        24089 Gradefes;2012;1074
        24090 Gradefes;2011;1118
        24091 Gradefes;2010;1076
        24092 Gradefes;2009;1092
        24093 Gradefes;2008;1117
        24094 Gradefes;2007;1145
        24095 Gradefes;2006;1155
        24096 Gradefes;2005;1166
        24097 Gradefes;2004;1211
        24098 Gradefes;2003;1255
        24080 Grajal de Campos;2022;214
        24081 Grajal de Campos;2021;205
        24082 Grajal de Campos;2020;227
        24083 Grajal de Campos;2019;227
        24084 Grajal de Campos;2018;223
        24085 Grajal de Campos;2017;234
        24086 Grajal de Campos;2016;231
        24087 Grajal de Campos;2015;242
        24088 Grajal de Campos;2014;243
        24089 Grajal de Campos;2013;249
        24090 Grajal de Campos;2012;238
        24091 Grajal de Campos;2011;254
        24092 Grajal de Campos;2010;246
        24093 Grajal de Campos;2009;245
        24094 Grajal de Campos;2008;247
        24095 Grajal de Campos;2007;254
        24096 Grajal de Campos;2006;276
        24097 Grajal de Campos;2005;288
        24098 Grajal de Campos;2004;279
        24099 Grajal de Campos;2003;284
        24081 Gusendos de los Oteros;2022;126
        24082 Gusendos de los Oteros;2021;127
        24083 Gusendos de los Oteros;2020;126
        24084 Gusendos de los Oteros;2019;124
        24085 Gusendos de los Oteros;2018;128
        24086 Gusendos de los Oteros;2017;138
        24087 Gusendos de los Oteros;2016;147
        24088 Gusendos de los Oteros;2015;148
        24089 Gusendos de los Oteros;2014;149
        24090 Gusendos de los Oteros;2013;137
        24091 Gusendos de los Oteros;2012;142
        24092 Gusendos de los Oteros;2011;150
        24093 Gusendos de los Oteros;2010;139
        24094 Gusendos de los Oteros;2009;146
        24095 Gusendos de los Oteros;2008;156
        24096 Gusendos de los Oteros;2007;166
        24097 Gusendos de los Oteros;2006;170
        24098 Gusendos de los Oteros;2005;178
        24099 Gusendos de los Oteros;2004;180
        24100 Gusendos de los Oteros;2003;189
        24082 Hospital de Órbigo;2022;981
        24083 Hospital de Órbigo;2021;977
        24084 Hospital de Órbigo;2020;991
        24085 Hospital de Órbigo;2019;998
        24086 Hospital de Órbigo;2018;987
        24087 Hospital de Órbigo;2017;976
        24088 Hospital de Órbigo;2016;993
        24089 Hospital de Órbigo;2015;995
        24090 Hospital de Órbigo;2014;982
        24091 Hospital de Órbigo;2013;1003
        24092 Hospital de Órbigo;2012;1005
        24093 Hospital de Órbigo;2011;1018
        24094 Hospital de Órbigo;2010;1031
        24095 Hospital de Órbigo;2009;1028
        24096 Hospital de Órbigo;2008;1052
        24097 Hospital de Órbigo;2007;1052
        24098 Hospital de Órbigo;2006;1078
        24099 Hospital de Órbigo;2005;1051
        24100 Hospital de Órbigo;2004;1080
        24101 Hospital de Órbigo;2003;1104
        24083 Igüeña;2022;1108
        24084 Igüeña;2021;1109
        24085 Igüeña;2020;1123
        24086 Igüeña;2019;1145
        24087 Igüeña;2018;1142
        24088 Igüeña;2017;1190
        24089 Igüeña;2016;1213
        24090 Igüeña;2015;1262
        24091 Igüeña;2014;1298
        24092 Igüeña;2013;1347
        24093 Igüeña;2012;1356
        24094 Igüeña;2011;1385
        24095 Igüeña;2010;1424
        24096 Igüeña;2009;1438
        24097 Igüeña;2008;1489
        24098 Igüeña;2007;1500
        24099 Igüeña;2006;1557
        24100 Igüeña;2005;1636
        24101 Igüeña;2004;1702
        24102 Igüeña;2003;1788
        24084 Izagre;2022;146
        24085 Izagre;2021;150
        24086 Izagre;2020;161
        24087 Izagre;2019;159
        24088 Izagre;2018;174
        24089 Izagre;2017;179
        24090 Izagre;2016;174
        24091 Izagre;2015;184
        24092 Izagre;2014;193
        24093 Izagre;2013;201
        24094 Izagre;2012;204
        24095 Izagre;2011;209
        24096 Izagre;2010;214
        24097 Izagre;2009;210
        24098 Izagre;2008;216
        24099 Izagre;2007;201
        24100 Izagre;2006;233
        24101 Izagre;2005;235
        24102 Izagre;2004;226
        24103 Izagre;2003;253
        24086 Joarilla de las Matas;2022;259
        24087 Joarilla de las Matas;2021;270
        24088 Joarilla de las Matas;2020;279
        24089 Joarilla de las Matas;2019;296
        24090 Joarilla de las Matas;2018;298
        24091 Joarilla de las Matas;2017;304
        24092 Joarilla de las Matas;2016;303
        24093 Joarilla de las Matas;2015;318
        24094 Joarilla de las Matas;2014;329
        24095 Joarilla de las Matas;2013;333
        24096 Joarilla de las Matas;2012;354
        24097 Joarilla de las Matas;2011;361
        24098 Joarilla de las Matas;2010;366
        24099 Joarilla de las Matas;2009;378
        24100 Joarilla de las Matas;2008;386
        24101 Joarilla de las Matas;2007;384
        24102 Joarilla de las Matas;2006;381
        24103 Joarilla de las Matas;2005;393
        24104 Joarilla de las Matas;2004;410
        24105 Joarilla de las Matas;2003;417
        24087 Laguna Dalga;2022;633
        24088 Laguna Dalga;2021;633
        24089 Laguna Dalga;2020;640
        24090 Laguna Dalga;2019;645
        24091 Laguna Dalga;2018;666
        24092 Laguna Dalga;2017;683
        24093 Laguna Dalga;2016;697
        24094 Laguna Dalga;2015;703
        24095 Laguna Dalga;2014;707
        24096 Laguna Dalga;2013;712
        24097 Laguna Dalga;2012;725
        24098 Laguna Dalga;2011;743
        24099 Laguna Dalga;2010;741
        24100 Laguna Dalga;2009;766
        24101 Laguna Dalga;2008;771
        24102 Laguna Dalga;2007;795
        24103 Laguna Dalga;2006;833
        24104 Laguna Dalga;2005;859
        24105 Laguna Dalga;2004;867
        24106 Laguna Dalga;2003;895
        24088 Laguna de Negrillos;2022;1043
        24089 Laguna de Negrillos;2021;1057
        24090 Laguna de Negrillos;2020;1061
        24091 Laguna de Negrillos;2019;1058
        24092 Laguna de Negrillos;2018;1066
        24093 Laguna de Negrillos;2017;1079
