municipio;year;Todas las edades
        24020 Barjas;2013;214
        24021 Barjas;2012;232
        24022 Barjas;2011;251
        24023 Barjas;2010;261
        24024 Barjas;2009;279
        24025 Barjas;2008;292
        24026 Barjas;2007;313
        24027 Barjas;2006;326
        24028 Barjas;2005;343
        24029 Barjas;2004;365
        24030 Barjas;2003;378
        24012 Barrios de Luna, Los;2022;299
        24013 Barrios de Luna, Los;2021;308
        24014 Barrios de Luna, Los;2020;307
        24015 Barrios de Luna, Los;2019;314
        24016 Barrios de Luna, Los;2018;313
        24017 Barrios de Luna, Los;2017;310
        24018 Barrios de Luna, Los;2016;315
        24019 Barrios de Luna, Los;2015;331
        24020 Barrios de Luna, Los;2014;329
        24021 Barrios de Luna, Los;2013;317
        24022 Barrios de Luna, Los;2012;317
        24023 Barrios de Luna, Los;2011;317
        24024 Barrios de Luna, Los;2010;309
        24025 Barrios de Luna, Los;2009;318
        24026 Barrios de Luna, Los;2008;317
        24027 Barrios de Luna, Los;2007;312
        24028 Barrios de Luna, Los;2006;309
        24029 Barrios de Luna, Los;2005;326
        24030 Barrios de Luna, Los;2004;329
        24031 Barrios de Luna, Los;2003;344
        24014 Bembibre;2022;8279
        24015 Bembibre;2021;8455
        24016 Bembibre;2020;8598
        24017 Bembibre;2019;8705
        24018 Bembibre;2018;8979
        24019 Bembibre;2017;9191
        24020 Bembibre;2016;9356
        24021 Bembibre;2015;9568
        24022 Bembibre;2014;9631
        24023 Bembibre;2013;9774
        24024 Bembibre;2012;9929
        24025 Bembibre;2011;10060
        24026 Bembibre;2010;10097
        24027 Bembibre;2009;10071
        24028 Bembibre;2008;10136
        24029 Bembibre;2007;10053
        24030 Bembibre;2006;10092
        24031 Bembibre;2005;10059
        24032 Bembibre;2004;9989
        24033 Bembibre;2003;10217
        24015 Benavides;2022;2390
        24016 Benavides;2021;2426
        24017 Benavides;2020;2440
        24018 Benavides;2019;2455
        24019 Benavides;2018;2497
        24020 Benavides;2017;2522
        24021 Benavides;2016;2587
        24022 Benavides;2015;2616
        24023 Benavides;2014;2666
        24024 Benavides;2013;2719
        24025 Benavides;2012;2740
        24026 Benavides;2011;2808
        24027 Benavides;2010;2838
        24028 Benavides;2009;2854
        24029 Benavides;2008;2879
        24030 Benavides;2007;2895
        24031 Benavides;2006;2903
        24032 Benavides;2005;2921
        24033 Benavides;2004;2929
        24034 Benavides;2003;2979
        24016 Benuza;2022;464
        24017 Benuza;2021;464
        24018 Benuza;2020;482
        24019 Benuza;2019;530
        24020 Benuza;2018;489
        24021 Benuza;2017;487
        24022 Benuza;2016;503
        24023 Benuza;2015;507
        24024 Benuza;2014;515
        24025 Benuza;2013;530
        24026 Benuza;2012;549
        24027 Benuza;2011;591
        24028 Benuza;2010;601
        24029 Benuza;2009;639
        24030 Benuza;2008;672
        24031 Benuza;2007;697
        24032 Benuza;2006;667
        24033 Benuza;2005;707
        24034 Benuza;2004;738
        24035 Benuza;2003;770
        24017 Bercianos del Páramo;2022;528
        24018 Bercianos del Páramo;2021;541
        24019 Bercianos del Páramo;2020;554
        24020 Bercianos del Páramo;2019;562
        24021 Bercianos del Páramo;2018;580
        24022 Bercianos del Páramo;2017;580
        24023 Bercianos del Páramo;2016;605
        24024 Bercianos del Páramo;2015;618
        24025 Bercianos del Páramo;2014;637
        24026 Bercianos del Páramo;2013;645
        24027 Bercianos del Páramo;2012;661
        24028 Bercianos del Páramo;2011;682
        24029 Bercianos del Páramo;2010;713
        24030 Bercianos del Páramo;2009;734
        24031 Bercianos del Páramo;2008;742
        24032 Bercianos del Páramo;2007;758
        24033 Bercianos del Páramo;2006;779
        24034 Bercianos del Páramo;2005;783
        24035 Bercianos del Páramo;2004;769
        24036 Bercianos del Páramo;2003;800
        24018 Bercianos del Real Camino;2022;187
        24019 Bercianos del Real Camino;2021;178
        24020 Bercianos del Real Camino;2020;185
        24021 Bercianos del Real Camino;2019;193
        24022 Bercianos del Real Camino;2018;193
        24023 Bercianos del Real Camino;2017;193
        24024 Bercianos del Real Camino;2016;196
        24025 Bercianos del Real Camino;2015;196
        24026 Bercianos del Real Camino;2014;197
        24027 Bercianos del Real Camino;2013;194
        24028 Bercianos del Real Camino;2012;195
        24029 Bercianos del Real Camino;2011;195
        24030 Bercianos del Real Camino;2010;202
        24031 Bercianos del Real Camino;2009;199
        24032 Bercianos del Real Camino;2008;205
        24033 Bercianos del Real Camino;2007;209
        24034 Bercianos del Real Camino;2006;215
        24035 Bercianos del Real Camino;2005;215
        24036 Bercianos del Real Camino;2004;205
        24037 Bercianos del Real Camino;2003;204
        24019 Berlanga del Bierzo;2022;350
        24020 Berlanga del Bierzo;2021;347
        24021 Berlanga del Bierzo;2020;354
        24022 Berlanga del Bierzo;2019;360
        24023 Berlanga del Bierzo;2018;360
        24024 Berlanga del Bierzo;2017;366
        24025 Berlanga del Bierzo;2016;378
        24026 Berlanga del Bierzo;2015;392
        24027 Berlanga del Bierzo;2014;384
        24028 Berlanga del Bierzo;2013;389
        24029 Berlanga del Bierzo;2012;401
